,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
465,Nea Peramos,GR,38.01,23.42,62.6,59,0,6.2,clear sky
466,Porto Seguro,BR,-16.45,-39.06,73.4,83,75,11.41,broken clouds
467,Beyneu,KZ,45.32,55.2,41.11,63,45,2.82,scattered clouds
468,Turukhansk,RU,65.82,87.98,13.86,96,100,11.01,light snow
469,Luangwa,ZM,-15.62,30.42,76.68,55,0,6.87,clear sky
470,Rochegda,RU,62.8,43.25,28.94,96,100,12.01,overcast clouds
471,Mana,GF,5.66,-53.78,80.85,82,43,13.71,scattered clouds
472,Richards Bay,ZA,-28.78,32.04,69.69,84,26,10.38,scattered clouds
473,Sidhi,IN,24.42,81.88,80.19,46,0,4.52,clear sky
474,Zdunska Wola,PL,51.6,18.94,53.01,85,94,3.0,overcast clouds
475,Puerto Quijarro,BO,-17.78,-57.77,75.88,78,92,0.63,overcast clouds
476,Hammerfest,NO,70.66,23.68,33.8,86,75,28.86,light rain
477,San Rafael,AR,-34.62,-68.33,62.6,79,4,3.02,clear sky
478,Muyuka,CM,4.29,9.41,77.0,100,75,1.05,broken clouds
479,Kangaatsiaq,GL,68.31,-53.46,25.57,94,63,7.4,broken clouds
480,Pangnirtung,CA,66.15,-65.71,26.6,92,90,3.36,light snow
481,Ilebo,CD,-4.32,20.58,71.67,96,100,1.12,overcast clouds
482,Neuquen,AR,-38.95,-68.06,62.6,72,0,6.93,clear sky
483,Nerja,ES,36.76,-3.89,59.0,91,0,1.01,clear sky
484,Saquarema,BR,-22.92,-42.51,67.17,82,42,9.24,scattered clouds
485,Zhanakorgan,KZ,43.91,67.25,43.5,60,96,8.41,overcast clouds
486,Ilam,NP,26.92,87.92,71.69,63,0,3.96,clear sky
487,Sistranda,NO,63.73,8.83,33.8,66,40,3.36,scattered clouds
488,Scarborough,GB,54.28,-0.4,42.01,82,1,1.01,clear sky
489,Mount Darwin,ZW,-16.77,31.58,66.76,68,0,4.12,clear sky
490,Ginda,IN,30.69,78.49,68.0,60,0,3.04,clear sky
491,Porto Novo,BJ,6.5,2.6,77.54,89,11,6.58,few clouds
492,Manzil Kamil,TN,35.62,10.67,66.99,93,0,4.7,clear sky
493,Belyy Yar,RU,53.6,91.39,42.8,52,0,6.71,clear sky
494,Brzeg Dolny,PL,51.27,16.71,57.2,71,0,8.05,clear sky
495,Chopovychi,UA,50.83,28.95,49.68,77,99,7.0,overcast clouds
496,Kanker,IN,20.27,81.49,77.79,49,6,4.61,clear sky
497,Altea,ES,38.6,-0.05,66.0,87,100,7.9,overcast clouds
498,Grand-Bourg,GP,15.88,-61.31,78.8,94,21,5.82,few clouds
499,Crailsheim,DE,49.13,10.07,57.2,87,100,6.93,light rain
500,Boca Do Acre,BR,-8.75,-67.4,73.35,95,100,0.54,overcast clouds
501,Acarau,BR,-2.89,-40.12,78.87,79,87,14.36,overcast clouds
502,Betare Oya,CM,5.6,14.08,67.69,90,100,2.62,overcast clouds
503,Shirvan,AZ,39.95,48.9,60.53,79,2,0.58,clear sky
504,Bodden Town,KY,19.28,-81.25,80.6,88,40,9.17,scattered clouds
505,Herouville-Saint-Clair,FR,49.21,-0.31,53.6,93,0,5.82,clear sky
506,Salym,RU,60.06,71.48,22.71,96,100,7.45,overcast clouds
507,Racine,US,42.75,-88.08,63.0,100,40,4.7,scattered clouds
508,Ostroleka,PL,53.09,21.58,53.01,86,100,11.23,overcast clouds
509,Mbanza-Ngungu,CD,-5.25,14.87,69.58,96,100,7.52,light rain
510,Veroia,GR,40.52,22.2,57.0,62,0,2.8,clear sky
511,Corralillo,CU,22.98,-80.59,77.23,87,100,11.92,overcast clouds
512,Taoudenni,ML,22.68,-3.98,81.16,16,0,7.0,clear sky
513,Cantaura,VE,9.31,-64.36,76.95,77,3,10.13,clear sky
514,Kars,TR,40.6,43.09,35.6,57,0,2.24,clear sky
515,Vaasa,FI,63.1,21.62,37.4,93,90,9.17,overcast clouds
516,Ayna,PE,-12.65,-73.92,60.28,69,66,1.36,light rain
517,Brezova Pod Bradlom,SK,48.66,17.54,46.0,100,76,6.93,fog
518,Lethem,GY,3.38,-59.8,81.43,56,7,7.27,clear sky
519,Kosh-Agach,RU,50.0,88.67,36.88,72,66,6.22,broken clouds
520,Yuzhnouralsk,RU,54.44,61.25,26.51,89,0,12.24,clear sky
521,Puerto Narino,CO,-3.77,-70.38,77.0,100,75,4.7,broken clouds
522,Paita,PE,-5.09,-81.11,64.63,82,5,9.04,clear sky
523,Antibes,FR,43.56,7.13,62.6,77,75,8.05,light rain
524,Krasnaya Zarya,RU,52.78,37.68,47.68,93,56,13.67,broken clouds
525,Iberia,US,29.95,-91.75,73.4,100,20,5.82,few clouds
526,New Glasgow,CA,45.58,-62.65,48.0,80,10,1.01,clear sky
527,Sault Sainte Marie,CA,46.52,-84.33,37.4,93,90,9.17,moderate rain
528,Ravar,IR,31.27,56.81,63.82,27,0,4.9,clear sky
529,Aripuana,BR,-9.17,-60.63,74.07,93,72,1.81,heavy intensity rain
530,Dungarvan,IE,52.09,-7.63,52.0,92,100,7.0,moderate rain
531,Jabinyanah,TN,35.03,10.91,66.2,88,0,3.36,clear sky
532,Corrente,BR,-3.74,-43.34,75.07,93,49,4.92,scattered clouds
533,Saint-Leu,RE,-21.15,55.28,77.0,65,0,11.41,clear sky
534,Chapada Dos Guimaraes,BR,-15.46,-55.75,84.2,58,0,14.99,clear sky
535,Roura,GF,4.73,-52.33,75.2,100,0,1.12,clear sky
536,Doka,SD,13.52,35.77,74.84,65,0,2.75,clear sky
537,San Ignacio,BZ,17.16,-89.07,78.01,94,0,2.48,clear sky
538,Santa Cruz,BO,-17.8,-63.17,78.8,74,78,3.36,light rain
539,Ciudad Bolivar,VE,8.12,-63.55,80.64,74,0,11.21,clear sky
540,Meulaboh,ID,4.14,96.13,86.29,60,100,3.94,overcast clouds
541,Markivka,UA,49.52,39.57,50.07,64,97,10.29,overcast clouds
542,Jalu,LY,29.03,21.55,59.38,75,0,7.09,clear sky
543,Bongandanga,CD,1.5,21.05,71.17,99,100,1.01,overcast clouds
544,Araouane,ML,18.9,-3.53,84.7,17,0,8.48,clear sky
545,Iralaya,HN,15.0,-83.23,80.08,85,58,4.21,broken clouds
546,Sao Domingos,BR,-13.4,-46.32,78.03,54,100,7.58,overcast clouds
547,San Jose,US,37.34,-121.89,63.0,67,1,5.82,clear sky
548,Nizwa,OM,22.93,57.53,79.77,13,0,4.23,clear sky
549,Tokmak,UA,47.25,35.71,52.36,90,98,5.35,overcast clouds
550,Villarrica,PY,-25.75,-56.43,76.03,52,49,3.76,scattered clouds
551,Moundsville,US,39.92,-80.74,64.4,68,1,6.93,clear sky
552,Salinopolis,BR,-0.61,-47.36,79.65,82,19,11.05,few clouds
553,Strezhevoy,RU,60.73,77.59,24.8,92,75,4.47,broken clouds
554,Kasempa,ZM,-13.46,25.83,66.92,49,89,8.21,overcast clouds
555,Inhambane,MZ,-23.86,35.38,73.26,70,85,10.07,overcast clouds
556,Yanam,IN,16.73,82.22,82.4,83,75,4.7,mist
557,Seydisehir,TR,37.42,31.85,49.66,61,57,0.81,broken clouds
558,Old Shinyanga,TZ,-3.55,33.4,70.93,55,61,13.71,broken clouds
559,Mayumba,GA,-3.43,10.66,76.51,88,100,5.32,moderate rain
560,Shirgaon,IN,19.7,72.7,82.4,78,75,4.7,smoke
561,Yayva,RU,59.33,57.26,21.0,81,0,4.21,clear sky
562,Comodoro Rivadavia,AR,-45.87,-67.5,50.0,71,0,2.24,clear sky
563,Barra Do Corda,BR,-5.5,-45.25,78.78,74,8,7.56,clear sky
564,Serra,BR,-20.13,-40.31,73.4,78,40,8.05,scattered clouds
565,Grimstad,NO,58.34,8.59,46.4,81,0,8.05,clear sky
566,Marquette,US,46.53,-87.63,39.0,94,100,1.01,overcast clouds
567,Abu Samrah,SY,35.3,37.18,60.89,48,0,3.85,clear sky
568,Garowe,SO,8.41,48.48,79.48,68,97,7.4,overcast clouds
569,Shabo,UA,46.13,30.39,48.2,93,0,9.73,clear sky
570,Forestville,US,38.85,-76.88,69.01,93,1,4.7,clear sky
571,Matagami,CA,49.75,-77.63,32.0,99,90,2.24,overcast clouds
572,Sheltozero,RU,61.37,35.37,43.05,95,100,12.57,moderate rain
573,Vila Praia De Ancora,PT,41.81,-8.85,55.0,100,90,3.36,light rain
574,Elizabeth City,US,36.29,-76.25,68.0,94,1,5.82,clear sky
575,San Andres,CO,12.58,-81.7,77.0,94,40,2.15,scattered clouds
576,Ullal,IN,12.8,74.85,75.2,94,90,6.93,light intensity drizzle
577,Palampur,IN,32.12,76.53,70.14,23,0,4.45,clear sky
578,Talipparamba,IN,12.05,75.35,75.2,94,75,2.24,mist
579,Waldkraiburg,DE,48.21,12.4,50.0,99,72,3.49,light rain
580,Leicester,GB,52.64,-1.13,48.0,55,90,1.99,overcast clouds
581,Bentiu,SS,9.23,29.83,72.84,88,36,3.11,scattered clouds
582,Mount Pleasant,US,32.79,-79.86,73.4,100,1,9.53,clear sky
583,Kisangani,CD,0.52,25.2,70.56,98,100,1.54,light rain
584,Sabaudia,IT,41.3,13.03,57.99,91,63,4.97,broken clouds
585,Kolpashevo,RU,58.31,82.91,32.07,95,81,4.34,broken clouds
586,Mutis,CO,6.23,-77.4,78.21,84,100,2.04,light rain
587,Key West,US,24.56,-81.78,80.6,83,90,11.41,overcast clouds
588,Moyale,KE,3.52,39.06,68.25,87,83,10.89,broken clouds
589,Gwanda,ZW,-20.93,29.0,63.23,76,0,8.7,clear sky
590,Limenaria,GR,40.63,24.58,60.01,87,0,3.51,light rain
591,Sabratah,LY,32.79,12.49,69.03,45,0,4.27,clear sky
592,Ouesso,CG,1.61,16.05,69.46,97,100,1.7,moderate rain
593,Goure,NE,13.98,10.27,84.0,14,0,5.99,clear sky
594,Kismayo,SO,-0.36,42.55,80.91,80,68,14.81,broken clouds
595,Caxito,AO,-8.58,13.66,75.2,83,75,8.05,broken clouds
596,Kemijarvi,FI,66.71,27.43,35.29,97,100,4.61,overcast clouds
597,Traverse City,US,44.76,-85.62,46.4,93,90,9.17,light rain
598,Booue,GA,-0.09,11.94,72.43,97,100,1.52,moderate rain
599,Mirandopolis,BR,-21.13,-51.1,74.01,64,56,14.65,broken clouds
600,Alberton,CA,46.82,-64.07,44.6,72,75,11.21,broken clouds
601,Ilorin,NG,8.5,4.55,72.48,94,53,7.14,broken clouds
602,Mingaora,PK,34.78,72.36,71.55,25,0,3.11,clear sky
603,Svetlopolyansk,RU,59.42,52.36,21.52,94,1,3.94,clear sky
604,Coruripe,BR,-10.13,-36.18,75.63,88,21,9.53,light rain
605,Bakel,SN,14.9,-12.46,83.1,24,0,3.85,clear sky
606,Upala,CR,10.9,-85.01,74.93,91,100,3.71,overcast clouds
607,Senanga,ZM,-16.12,23.27,73.29,39,2,10.4,clear sky
608,Khambhat,IN,22.3,72.62,82.4,61,20,3.36,haze
609,Bakchar,RU,57.02,82.07,35.76,84,100,7.7,overcast clouds
610,Shu,KZ,43.6,73.76,45.37,71,100,11.83,light rain
611,Bay Roberts,CA,47.6,-53.26,44.01,81,64,8.99,broken clouds
612,Varkaus,FI,62.32,27.87,43.0,100,90,5.82,overcast clouds
613,Bilma,NE,18.69,12.92,75.04,25,0,18.3,clear sky
614,Guayaramerin,BO,-10.84,-65.36,78.13,68,93,1.5,overcast clouds
615,Suez,EG,29.97,32.53,68.86,84,0,7.99,clear sky
616,Eregli,TR,37.51,34.05,51.67,56,0,2.55,clear sky
617,Kolpny,RU,52.23,37.04,46.63,93,10,12.37,clear sky
618,Boralday,KZ,43.36,76.86,42.8,73,90,4.47,mist
619,Ormara,PK,25.21,64.64,78.44,29,0,13.67,clear sky
620,Falmouth,GB,50.15,-5.07,51.01,93,19,5.82,few clouds
621,Agirish,RU,61.92,63.02,21.34,94,36,8.03,scattered clouds
622,Antofagasta,CL,-23.65,-70.4,57.2,87,90,5.82,overcast clouds
623,Voi,KE,-3.39,38.56,71.74,76,1,5.46,clear sky
624,Dhidhdhoo,MV,6.88,73.1,82.02,79,80,12.37,broken clouds
625,Georgiyevka,KZ,43.04,74.71,41.0,80,75,2.24,light intensity shower rain
626,Kupino,RU,54.37,77.3,34.12,85,51,16.62,broken clouds
627,Tatishchevo,RU,51.67,45.6,46.0,84,95,5.99,overcast clouds
628,Guanica,PR,17.97,-66.91,75.99,86,100,8.68,overcast clouds
629,Ous,RU,60.91,61.52,22.21,92,0,6.13,clear sky
630,Mandera,KE,3.94,41.87,79.45,69,8,12.86,light rain
631,Bichena,ET,10.45,38.2,50.5,67,51,2.91,broken clouds
632,Bytow,PL,54.17,17.49,53.6,87,0,13.87,clear sky
633,Halifax,CA,44.65,-63.57,51.01,100,90,6.93,overcast clouds
634,Kharan,PK,28.58,65.42,61.63,31,0,4.21,clear sky
635,Jawhar,SO,2.78,45.5,79.72,79,72,16.08,broken clouds
636,Sovetskiy,RU,61.36,63.58,22.66,93,29,7.34,scattered clouds
637,Shache,CN,38.42,77.24,57.38,29,0,4.18,clear sky
638,Geraldton,AU,-28.77,114.6,84.2,20,40,8.05,scattered clouds
639,Logansport,US,40.75,-86.36,66.99,82,1,10.29,clear sky
640,Arroyo,ES,41.61,-4.8,50.0,100,90,5.82,overcast clouds
641,Gijon,ES,43.54,-5.66,51.8,81,0,5.82,clear sky
642,Oranjemund,NA,-28.55,16.43,56.84,92,45,5.66,scattered clouds
643,Omboue,GA,-1.57,9.26,76.91,86,100,7.85,light rain
644,Bayan,CN,46.08,127.4,46.0,29,0,15.39,clear sky
645,Yola,NG,9.2,12.48,75.29,59,39,2.3,scattered clouds
646,Ouallam,NE,14.32,2.09,82.72,15,0,5.17,clear sky
647,Mookane,BW,-23.69,26.66,67.91,55,0,8.3,clear sky
648,Hare Bay,CA,48.85,-54.01,39.2,71,20,13.87,few clouds
649,Rabo De Peixe,PT,37.8,-25.58,60.8,67,75,5.82,broken clouds
650,Ugoofaaru,MV,5.67,73.0,82.44,77,19,13.2,few clouds
651,Akdepe,TM,42.06,59.38,39.2,50,0,4.7,clear sky
652,Oistins,BB,13.07,-59.53,80.6,83,40,23.04,scattered clouds
653,Gao,ML,16.64,1.64,84.25,14,0,11.68,clear sky
654,Nchelenge,ZM,-9.35,28.73,74.88,51,88,4.54,overcast clouds
655,Wloszczowa,PL,50.85,19.97,48.0,90,97,6.26,overcast clouds
656,Redcar,GB,54.62,-1.06,44.01,78,9,8.01,clear sky
657,Igarka,RU,67.47,86.58,3.96,94,100,7.99,overcast clouds
658,Bubaque,GW,11.28,-15.83,83.57,78,18,11.01,light rain
659,La Asuncion,VE,11.03,-63.86,81.1,86,1,16.31,clear sky
660,Trastenik,BG,43.52,24.47,39.2,86,5,2.24,mist
661,Lysyanka,UA,49.25,30.83,50.86,70,89,3.8,overcast clouds
662,Ierapetra,GR,35.01,25.74,64.0,77,0,8.01,clear sky
663,Marfino,RU,55.7,37.38,51.8,87,75,15.66,broken clouds
664,Zwedru,LR,6.07,-8.13,71.28,98,56,1.81,broken clouds
665,Carupano,VE,10.67,-63.26,79.63,86,17,11.01,few clouds
666,Rusape,ZW,-18.53,32.13,57.45,89,0,1.92,clear sky
667,Nobres,BR,-14.72,-56.33,80.06,61,85,2.73,overcast clouds
668,Pasni,PK,25.26,63.47,78.91,33,0,21.47,clear sky
669,Quelimane,MZ,-17.88,36.89,71.6,83,75,5.82,broken clouds
670,Rawah,IQ,34.48,41.91,67.66,36,4,9.31,clear sky
671,Male,MV,4.17,73.51,82.4,78,75,11.41,broken clouds
672,Conde,BR,-7.26,-34.91,75.2,100,75,3.36,broken clouds
673,Ballina,AU,-28.87,153.57,82.4,69,75,18.34,broken clouds
674,Soure,BR,-0.72,-48.52,80.87,79,4,13.02,clear sky
675,Talara,PE,-4.58,-81.27,65.16,84,8,12.68,clear sky
676,Saint-Pierre,RE,-21.34,55.48,77.0,65,0,11.41,clear sky
677,Rybinsk,RU,58.04,38.84,44.58,96,100,7.99,moderate rain
678,Ipameri,BR,-17.72,-48.16,67.93,90,86,3.22,light rain
679,Kuusankoski,FI,60.91,26.62,46.4,100,90,5.82,light intensity drizzle rain
680,Nokaneng,BW,-19.67,22.27,71.96,31,0,9.15,clear sky
681,Sarankhola,BD,22.31,89.79,77.45,97,100,12.08,very heavy rain
682,Talnakh,RU,69.49,88.4,1.4,84,40,2.24,light snow
683,Eucaliptus,BO,-17.58,-67.52,46.89,70,100,6.24,overcast clouds
684,Havelock,US,34.88,-76.9,71.6,78,90,6.93,overcast clouds
685,Aktau,KZ,43.65,51.2,41.0,75,0,8.95,clear sky
686,Kudahuvadhoo,MV,2.67,72.89,82.15,76,98,11.86,moderate rain
687,Lebowakgomo,ZA,-24.2,29.5,60.8,72,0,6.93,clear sky
688,Soyo,AO,-6.13,12.37,76.84,85,100,7.49,overcast clouds
689,Zvolen,SK,48.57,19.15,42.8,100,90,1.12,fog
690,Marystown,CA,47.17,-55.15,46.99,100,84,1.99,broken clouds
691,Horta,PT,38.53,-28.63,64.06,71,25,5.59,scattered clouds
692,Vestmanna,FO,62.16,-7.17,44.6,81,100,28.86,light rain
693,Kabalo,CD,-6.05,26.92,71.1,95,94,3.2,overcast clouds
694,Mpongwe,ZM,-13.51,28.16,67.32,45,51,7.18,broken clouds
695,Porciuncula,BR,-20.96,-42.04,66.06,86,93,2.95,overcast clouds
696,Teguldet,RU,57.31,88.17,36.54,80,25,9.15,scattered clouds
697,Perivolion,GR,39.42,20.01,59.0,93,0,4.56,clear sky
698,Alvand,IR,36.32,49.17,47.66,61,0,2.24,clear sky
699,Werda,BW,-25.27,23.28,72.61,38,0,10.09,clear sky
700,Dubova,RO,44.62,22.27,51.62,48,0,2.91,clear sky
